YES/NO,Deutsch,English / SK,Comment,LEGEND
,laut Berichten,according to reports,,
,Ermittlung,investigation,,
,Umwetter,storm,,
,Gewalt,violence,,
,wütend,angry,,
,sie könnten Flüge ausfallen,they could cancel flights,,
,fordern = verlangern,demand,,
,nach Angaben von jd.,according to sb.,,
,ein Zeuge hatte gemeldet,a witness had reported,,
,Gefängnis,prison,,
,Strafen,fines ,,
,die Junge sind betroffen,the young are affected,,
,angreifen,to attack,,
,Angriff,attack,,
,der Hund eingfangen ,to catch a dog,,
,vor Ort sein,to be onsite,,
,Führerschein wird weggenommen,drivers license is taken away,,
,ankündigen,announce (officially e.g. in press ),,
,verringern ,reduce,,
,augehen von,assume,,
,vermuten,"suspect, guess, assume",,
,ein Brandmeldealarm hat ausgelöst,"fire alarm has been activated, gone off",,
,die Spannungen,the tensions,,
,Gerechtigkeit,justice,,
,wir drücken dir die Daumen,we are crossing our fingers for you,,
,wesentlich wichtig,crucial important,,
,anzuwenden ,to apply / to use,,
,in den allermeisten Fällen,in majority of cases,,
,Erfahrung im Alltag,everyday experiences,,
,Zweifel,doubt,,
,Erwartungshaltung,expectations,,
,übertragen,apply by transferring,,
,Futter und Ausrüstung,food and equipment,https://www.youtube.com/watch?v=xf2YtDI_cac,
,schonen / schützen,protect,,
,zurücklegen,"to cover a distance, to travel through",,
,er bedankt sich bei ihm für etw.,he thanks him for sth,,
,Seitenscheibe ist zerbrochen,The side window is broken.,,
,sie haben sich gestritten wegen Schulden,They argued about debts.,,
,der mann ist noch am Tatort an seinen Verletzungen gestorben,Muž na následky zranení zomrel na mieste činu.,,
,Tötungsdelikt / Mord,killing ,,
,der Mann wurde getroffen,the man was hit,,
,erschossen (man wurde erschossen),shot dead,,
,ständig,constant / steady,,
,Vorgang,occurrence / vyskyt,,
,ablenken,distract / turn away,,
,belächeln,smile at,,
,beinahe alles / almost everything,almost everything,,
,die Betroffene (Menschen),the affected (people),,
,Minderwertigkeitsgefühle,feelings of inferiority,,
,ernsthaft,seriously,,
,ernst / schwerwiegend,serious,,
,münden / fließen,flow,,
,unterbinden/ unterbunden,prevent / prevented,,
,vertagen,postpone,,
,versagen,fail,,
,vertragen,tolerate,,
,roh,raw / rare (steak),,
,schmoren / dunsten,braise / steam,,
,das bringt mich zum Kochen,that drives me crazy,,
,satt,plný / sýty,,
,gesättigt,nasýtený,,
,kochendes Wasser,boiling water,,
,kneten,knead,,
,Knete haben - Geld haben,,,
,Knete,dough,,
,Hefe,Yeast,,
,Zeit verbraten,to waste time,,
,Kino Knüller,Filmové trháky,,
,sich eignen/ geeignet,be suitable/appropriate,,
,diejenigen,those individuals who...,,
,Meilenstein,milestone,,
,indem,by which,,
,bilden sie Paare,make pairs,,
,erhöhen,increase,,
,Eingabe,input,,
,Einkommen,income,,
,viel Zeit ist vergangen,much time has passed,,
,zusammenfinden,come together,,
,Kinoknüller,,,
,Streit,argument/quarrel,,
,Ereignisse,events,,
,Hattest du gute ,,,
,Hast du gut hergefunden,Did you travel here well? ,,
,es gehört mich nicht,it does not belong to me,,
,sich austauschen,exchange/share ideas,,
,plaudern,chatter,,
,das Zelt aufzubauen,pick up a tent,,
,sich gewöhnen an etwas,sich gewöhnen an etwas,,
,zwischen den Mahlzeiten,between meals,,
,erlaubt,allowed,,
,Zusatz,addition,,
,zusätzlich,additinally,,
,aufwachen,wake up,,
,einbringen,contribute,,
,anspruchsvoll,demanding,,
,Anspruch,narok / quota,,
,wachsen,rise/grow,,
,Nachteil/ Vorteil,Cons / Pros,,
,zuteilen / zugeteilt,allocate / allocated,,
,aufteilen /aufgeteilt,split,,
,auf der Hälfte des Wegs,half-way,,
,erledigen,complete,,
,haben sich geändert,have changed themselves,,
,am Anfang,at the beginning,,
,Nachzügler,latecomer,,
,Jahresabschluss,annual financial statements,,
,schaffen,manage/make/achieve,,
,Bereicherung,Enrichment,,
,bereichernd,enriching,,
,Ausschuss,commitee,,
,unberührt,untouched,,
,Berührung ,contact,,
,in Berührung kommen,come into contact,,
,Gabel,fork,,
,Löffel,spon,,
,Messer,knife,,
,ich habe mich Sorgen um etwas gemacht,i have been worried about something,,
,alleine / einsam,alone / lonely,,
,zuversichtlich,confident,,
,das wird mich fit halten,this will keep me fit,,
,Nachteil,disadvantage,,
,trennen / getrennt,separate / separated,,
,Zugang,Access,,
,stolperig (Sprache),"bumpy, broken (language)",,
,n Panik ausbrechen,to panic / freak out,,
,sich anfreunden mit,make friends with,,
,stattfinden / entstehen,take place / arise,,
,entscheidend,decisive,,
,sich benehmen,behave oneself,,
,Bereich,area,,
,zur Verfügung stellen,provide,,
,verunsichert,unsettled,,
,in eigener Haut stecken,in your own skin,,
,Bauchgefühl,gut feeling,,
,anhand der Fakten,based on facts,,
,Streber,nerd,,
,enttäuscht sein,disappointed,,
,herausfinden,find out,,
,s Verhalten,behaviour,,
,sich verhalten,behave,,
,Verhältnis,relationship/proportion,,
,Sitten und Bräuche,Spôsoby a zvyky,,
,Bescherung,Darovanie darčekov,,
,Feiertag,public holiday,,
,sie konnte sich daran errinern,she could remember,,
,r Inhalt,content,,
,konkurenzfahig,,,
,lernfähigkeit / unlerfahigkeit,learning ability,"was passiert in unsere Korper > hormonelle Verandrungen > cortisol and adrenalin produziert werdern > fuhren mehr konzentrazion, weniger Shcemrzen, mehr energie, unser Korper mbilisiert wird",
,Achtlosigkeit,carelessness," > Kampf oder Flucht > wir erhalten kurzzeitig aufput > reagieren besser, laufen schneller",
,Achtsamkeit,mindfulness,Heute > Menschen haben viele Stimulationen ,
,Geschäft,store,,
,Gesellschaft,company,,
,zu Seite scheiben,,,
,abhängig von,dependent on,,
,Gedanken,thoughts,,
,sich vertiefen,to delve deeper,,
,einige/einzige,some / only,,
,antriebslos,"listless, without drive",,
,antrieben,drive (sb/sth),,
,Ziel erreichen,reach a goal,,
,zielstrebig,goal-oriented,,
,zwingen,"make somebody, enslave",,
,versprechen sich / verschnappen,prerieknut sa ,,
,versprechen,promise,,
,versagen,let down/fail,,
,erzeugen,generate,,
,faul / faulenzen,lazy / lazing around,,
,beibringen,"teach, get across to",,
,böse,evil,,
,vor Kurzem,"recently, lately",,
,Beleidigung,insult,,
,Ansehen ,"prestige, reputation",,
,verdrängen,push away,,
,altbewährtes,tried and tested,,
,Währung,currency,,
,Zusammenschluss,"merger, fusion",,
,versorgen mit,provide with,,
,versorgen / pflegen,take care of,,
,geschätzt,"appreciated, valued",,
,Vereinigung(-en),association(-s),,
,vorhanden / verfügbar,available,,
,Vorteil / Vorteile,Advantage(s),,
,nachdenken,think over ,,
,Bewilligung / Zustimmung,approval / consent,,
,Dienstleistungen,services,,
,notwendig / nützlich,necessary / useful,,
,Gefühl  / Füllung,Feeling / filling,,
,gesamte,entire,,
,gemeinsame ,"common, together",,
,Strandrecht - bei Schiffbruch die gesamte Waren ubergehen ins Eigentum der Kustenbewohner,transmit the disease to me,,
,,,,
,"wenn man da weiss dass man sich auf sein bekanntes Recht verlassen kann, schafft das Vertrauen","If you know that you can rely on your known rights, it creates trust",,
,selbst untereinander Recht sprechen,judge among themselves,,
,untereinander,among each other,,
,Verträge ,contracts,Handelsleute hatten eine gute Zugang zu lukrative Waren wie Pelzen die sie in Ihre Heimat teuer verkaufen konnten,
,aushandeln,negotiate,transportieren die Ladung / Fracht auf Kogen,
,handeln mit,trade with,kogen wurden mit KOnnenen bewaffnet > konnten geegen die Seerauber ziemlich effektiv schutzen,
,Niederlassungen,branches,,
,brechen,break,,
,MItglieder,member,,
,geschäfte machen,doing business,,
,die Interessen drehen sich um Wirtschaft,the interests revolve around business,,
,beitreten,join,,
,heißt soviel wie Schar,means something like flock,,
,Seeräuber,pirates,,
,die Waren,goods,,
,ansteuern,control,,
,Luxusgutern wie Pelzen oder Wolle,luxury goods (fur or wool),,
,steigen / ansteigen,climb / increase,,
,der Bedarf nach,the demand for,,
,Getreide,grain,,
,Abstand / mit Abstand,distance / by far,,
,erste Schritt für die Entstehung,first step for the creation,,
,riesigen Handelsnetzen,huge trading networks,,
,entwickeln sich,develop,,
,Eindruck hinterlassen,zanechať dojem,,
,bereiten / vorbereiten,pripravit,,
,errichten,build / erect,,
,lustig oder merkwürdig,vtipné alebo zvláštne,,
,Ausstiegsmoglichkeiten,možnosti vystupovania/ukoncenia,,
,Aufstiegsmöglichkeiten,možnosti rastu,,
,begreifen,understand,,
,beinflusst sein,be influenced,,
,beeinflussen werden,will influence,,
,circle,Kreis,,
,Herausforderung,Challenge,,
,beenden/ abbrechen,ukončiť/zrušiť,,
,in der Zeit/ damals,v tom čase/vtedy,,
,in der Lage sein,byť schopný,,
,um fähig zu sein frei zu sprechen,aby mohol slobodne hovoriť,,
,"adoptieren, sich etwas aneignen","osvojiť si, niečo získať",,
,Lebenserkenntnisse,life lessons,,
,Vertrauen,Trust,,
,Verbrecher,criminals,,
,berühmt,famous,,
,Knast,prison,,
,Gefängnis,Jail,,
,verfilmen,film,,
,verfilmen,make a film of,,
,sich beschäftigen mit etwas,to occupy oneself with something,,
,Vorlesung,lecture,,
,seelische und geistliche Pflege,mental and spiritual care,,
,gemeinnützig,charitable,,
,ehrenamtlich,voluntarily,,
,erwähnen,mention,,
,seelische erneuerung,spiritual renewal,,
,es ist nicht über mich,it's not about me,,
,man muss sich vergessen,you have to forget yourself,,
,wir wissen es nicht,we don't know,,
,tatsächlich,actually,,
,tätig sein; Tätigkeiten,be active; activities,,
,überzeugen,convince,,
,sowieso,anyhow,,
,"zweimal messen, einmal schneiden","measure twice, cut once",,
,vorher,previously,,
,ich muss es aneignen,Musím to vlastniť,,
,um fahig zu sein frei zu sprechen,to be able to speak freely,,
,"Grundschule > andere Schule die bieten Hauptschulabschluss [Berufsreife] / Realschulabschluss [MIttlere Reife] / > duale/schulische Ausbildung
Fachhochschulabschluss [Hochschulreife]  > ermoglicht ein Studium am Gymnasium
Alle drei Abschlusse werden an die Gesamtschule / Gemeintschaftsschule anbietet
Zugang zum Gymnasium - nach der Grundschule oder nach Erhalt der Realschulabschluss
Am Gymnasium/an der Gesamtschule > Abitur > ermoglicht Fachhochschule/Universitat","Základná škola > ostatné školy, ktoré ponúkajú maturitné vysvedčenie [odborná zrelosť] / maturitné vysvedčenie [maturita] / > duálne/školské vzdelávanie
Technická vysoká škola [prijímacia kvalifikácia na vysokú školu] > vám umožňuje študovať na strednej škole
Všetky tri kvalifikácie sú ponúkané na všeobecných/komunitných školách
Vstup na strednú školu - po základnej škole alebo po získaní maturitného vysvedčenia
Na strednej škole > Abitur > umožňuje technickú vysokú školu/univerzitu",,
,gesamtschule - bietet alle drei Abschlüsse an,stredná škola - ponúka všetky tri kvalifikácie,,
,gemeinschaftsschule,komunitná škola,,
,abschluss,diplom,,
,fachhochschulreife,kvalifikácia na prijatie na technickú vysokú školu,,
,bzw beziehungsweise,alebo resp,,
,zuständigen Behörde,príslušný orgán,,
,liegestuhl,lehátko,,
,Sonnenliege,Lehátko,,
,vorstellung,výkon,,
,stellenplan,pracovný plán,,
,beschäftigen mit,zaoberať sa,,
,beschäftigen sich,zamestnať sa,,
,beschäftigen,obsadiť,,
,Arbeitstätigkeiten,Pracovné činnosti,,
,statt / anstatt,instead of / instead of,,
,zwar > aber,although > but,,
,nicht nur > sondern auch,not only > but also,,
,weder > noch,neither > nor,,
,entweder > oder,either > or,,
,sowohl - als auch,as well as,,
,als,when,,
,bevor,before,,
,obwohl,although,,
,nachdem,after,,
,außergewöhnlich / ungewöhnlich,extraordinary / unusual,,
,kaum,barely,,
,völlig / gänzlich,completely / entirely,,
,völlig,fully,,
,ziemlich,quite,,
,recht,really,,
,Geschäftsergebnisse,business results,,
,wegen dir,because of you,,
,Bescheid,Notice,,
,trotz,napriek tomu,,
,außerhalb,vonku,,
,innerhalb,v rámci,,
,wegen,because of,,
,erheblich,significantly,,
,weiterleiten,forward,,
,denjenigen,those,,
,fernglas,binoculars,,
,brandgefahr,fire hazard,,
,was wollen die schon wieder,what do they want again,,
,wach werden,wake up,,
,los jetzt,go now,,
,Stimmung,Mood,,
,plötzlich,suddenly,,
,das geht nicht!,to nejde!,,
,Heimmitarbeiter,Domáci personál,,
,gemeinsamkeiten,podobnosti,,
,gemeinsam mit,spolu s,,
,Es kann auch passieren,Aj to sa môže stať,,
,schulnoten,školské známky,,
,zugang zu,prístup k,,
,zugang,prístup,,
,ermöglichen,umožniť,,
,ermöglichen,make possible,,
,Eine Ausbildung zu machen ist jedoch freiwillig,"However, training is voluntary",,
,duale Ausbildung,dual training,,
,Ausbildung,Training,,
,Fachhochschulreife / Hochschulreife,university of applied sciences entrance qualification / university entrance qualification,,
,Realschulabschluss,secondary school diploma,,
,Hauptschulabschlus / Berufsreife,secondary school leaving certificate / vocational qualification,,
,Abschlüsse,degrees,,
,anbieten,offer,,
,erhalten eine Empfehlung,receive a recommendation,,
,erhalten,receive,,
,körperliche behinderung,physical disability,,
,Lernschwäche,learning disabilities,,
,Förderschule,special needs school,,
,(sogenannte) Schulpflicht,(tzv.) povinná školská dochádzka,,
,ausnahmen,exceptions,,
,Jahrgang,ročník,,
,reife,mature,,
,Auszubildender / Azubi,trainee,,
,Auszubildender,trainee,,
,ausreichend,sufficient,,
,erlauben,allow,,
,es ist lange Zeit her,it was a long time ago,,
,nach einer gewissen Zeit,after a certain time,,
,it was a long time ago,es ist lange her,,
,i must pick it up,ich muss es abholen,,
,treffen mit,meet with,,
,entschuldigen bei,apologize to,,
,compare,vergleichen,,
,prostredie,die Umwelt,,
,skrupellos,unscrupulous,,
,gewissenlos ohne Rücksicht auf Verluste,unscrupulous without regard to losses,,
,überheblich,arrogant,,
,jemand der auf herabsieht ist,someone who looks down on,,
,seltsamkeit <> skurrilität,strangeness <> oddity,,
,seltsamkeit,strangeness,,
,devot,submissive,,
,sich unterordnet,subordinates himself,,
,misstrauen,distrust,,
,argwohn,suspicion,,
,penibel,meticulous,,
,zuverlässig,reliable,,
,womit können wir beisteuern,čím môžeme prispieť?,,
,Wie können wir beisteuern,Ako môžeme prispieť?,,
,beisteuern,prispieť,,
,steuern,kormidlovať,,
,Entlastung,Úľava,,
,entlasten,uľaviť,,
,die Last,záťaž,,
,Gewicht,Hmotnosť,,
,erleichtern,uľahčiť,,
,schwer - leicht,ťažké - ľahké,,
,Assistenz,Pomoc,,
,Unterstützen,Podpora,,
,Stolz,Hrdý,,
,Es läuft wie geschmiert,Ide to ako hodinky,,
,es läuft wie geschmiert,ide to ako hodinky,,
,wie ein Gedicht,ako báseň,,
,genug / ausreichend,dosť / dosť,,
,du kannst mir nicht das wasser reichen,nemôžeš mi držať sviečku,,
,ausreichend,dostatočné,,
,Fortschritt,Progress,,
,direct speech,direkte Rede,,
,kurz und bündig,short and sweet,,
,i agree with you,Ich stimme Ihnen zu,,
,geheimnisvoll,mysterious,,
,behalten,keep,,
,einigen,some,,
,eiverstanden,understood,,
,abgemacht,agreed,,
,erledigen,complete,,
,betrag,amount,,
,when it gets dark,wenn es dunkel wird,,
,die Besprechung findet im Büro statt,the meeting takes place in the office,,
,stattfinden,take place,,
,ich muss vorher etwas anderes machen,I have to do something else first,,
,nicken,nod,,
,Ich schau dich an,I'm looking at you,,
,anschauen,look at,,
,verlieren,lose,,
,bestellen,order,,
,bist do soweit,are you ready,,
,ferien,holidays,,
,sich erholen,to recover,,
,sich entspannen,to relax,,
,man trinkt Bier zum Genuss,you drink beer for pleasure,,
,eigentlich,actually,,
,eigentlich fast,actually almost,,
,forschungsauftrag,research assignment,,
,enthalten,contain,,
,es sieht aus wie das,it looks like the,,
,it seems to me,es scheint mir,,
,it seems like,wie es scheint,,
,fähigkeiten und fertigkeiten,Skills and abilities,,
,fähigkeiten,skills,,
,glaube an ihn,believe in him,,
,they had many activities during the day,Sie hatten viele Aktivitäten während des Tages,,
,erwischen bei,catch at,,
,auf jeden Fall,in any case,,
,angereichert,enriched,,
,erreichen kann,can reach,,
,es geht um...,it's about...,,
,klang,sound,,
,zurzeit,currently,,
,erzählen von,to tell about,,
,erzählen,tell,,
,mitglieder,members,,
,Vermögen,property,,
,gegenstände,objects,,
,becher,mug,,
,wohngemeinschaft,Shared apartment,,
,verfügen,feature,,
,erkundigen sich nach,inquire about,,
,erkundigen,inquire,,
,anfang,beginning,,
,zusätzlich,additionally,,
,insgesamt,in total,,
,I am rather impatient,Ich bin ziemlich ungeduldig,,
,wettlauf,race,,
,werfen sich zu,throw themselves at,,
,fangen,catch,,
,es ist so unangenehm,je to take neprijemne,,
,ich denke sowohl als auch,"Myslím, že aj",,
,sowohl als auch,ako aj,,
,entspannte,uvoľnený,,
,entspannen,relaxovať,,
,➡️ alles läuft glatt,➡️ všetko ide hladko,,
,Kohle,Peniaze,,
,erreichen,dosiahnuť,,
,trotzdem,napriek tomu,,
,der Einzige den ich da nennen könnte,"jediný, ktorého som mohol menovať",,
,Vorbilder habe ich eigentlich gar keine,Vlastne nemám žiadne vzory,,
,hauptsächlich,predovšetkým,,
,beziehungsweise,resp,,
,kümmern,staraj sa,,
,auftrumpfen,predviesť sa,,
,look at me now,Schau mich jetzt an,,
,entschlossen,determined,,
,launisch,moody,,
,usually,normalerweise,,
,nochmal,znova,,
,erfahrung,skúsenosti,,
,bereit,pripravený,,
,"Einerseits finde ich den Inhalt der Nachricht toll, andererseits kann ich die nicht gut lesen, weil es grammatikalische Fehler enthält.","Na jednej strane si myslím, že obsah správy je skvelý, no na druhej strane sa mi zle číta, pretože obsahuje gramatické chyby.",,
,"➡️ einerseits …, andererseits",➡️ na jednej strane na druhej strane,,
,Entweder fliegen wir im Sommer nach Spanien oder fahren wir ein Wochenende nach Dänemark.,"Buď letíme v lete do Španielska, alebo ideme na víkend do Dánska.",,
,[] Entweder … oder,[] Buď ... alebo,,
,"Je mehr ich gegessen habe, desto/umso dicker bin ich geworden.","Čím viac som jedol, tým som bol tučnejší.",,
,[] je … umso/desto,[] čím viac... tým viac/tým viac,,
,"Es macht mir Sorgen. Ich habe weder per Post einen Brief noch eine E-Mail bekommen und ich weiß es nicht, was ich machen soll.",Mám z toho obavy. Neprišiel mi list ani email a neviem čo mám robiť.,,
,[] weder… noch,[] ani ani,,
,"Im Büro habe ich gerade nicht nur nette Kollegen, sondern auch tolle Aufgaben, die mir gefallen","V kancelárii mám teraz nielen milých kolegov, ale aj skvelé úlohy, ktoré ma bavia",,
,"[] nicht nur…, sondern auch","[] Nielen, ale aj",,
,beobachten,pozorovať,,
,Umwelt,Životné prostredie,,
,Laune,Nálada,,
,verraten sie mir,povedz mi,,
,Ahnung,Nápad,,
,ich wüsste gern,Chcel by som vedieť,,
,erfahren / herausfinden,find out / find out,,
,erfahren,find out,,
,ako vzdialeny je bod a od bodu b,Wie weit ist Punkt a von Punkt b entfernt?,,
,unliebsam / liebsam,nepríjemný/milujúci,,
,unliebsam,nepríjemný,,
,nachsehen,skontrolovať,,
,kleinigkeit,maličkosť,,
,Winzigkeit,Drobnosť,,
,Spinne,pavúk,,
,Angst überwinden,prekonať strach,,
,Friedensvertrag,mierová zmluva,,
,bewusstsein,vedomie,,
,Unbewusstsein,Bezvedomie,,
,zittern,tremble,,
,Schweiss,Sweat,,
,schwitzen,sweat,,
,spüren / fühlen,feel,,
,es ist ein unangenehmes Gefühl,it is an unpleasant feeling,,
,ein Gefühl in unbekannten Situationen,a feeling in unknown situations,,
,verloren sein,being lost,,
,nachdenken/ ausdenken,think/think out,,
,seit langer zeit,for a long time,,
,i am trying to imagine,sto cercando di immaginare,,
,uns läuft die Zeit davon,we are running out of time,,
,Lösungsansatz,Solution approach,,
,verarbeiten,process,,
,wie ich mich benehme,how I behave,,
,sich in einer Situation finden,find yourself in a situation,,
,Meer vs. Fluss,Sea vs. River,,
,Huhn vs. Ei,Chicken vs. Egg,,
,Autobahn vs. Landstraße,Motorway vs. country road,,
,nachdenklich vs. spontan,thoughtful vs. spontaneous,,
,Geld vs. Wert,Money vs. Value,,
,vorbereiten,pripraviť,,
,futilely,márne,,
,scourge,pohroma,,
,scorn,opovrhovať,,
,schwanger,pregnant,,
,die Zusammenfassung,the abstract,,
,Ich möchte darauf hinweisen,I would like to point out,,
,hinweisen,Clues,,
,Entscheidung,Decision,,
,unterbesetzt/ überbesetzt,understaffed/ overstaffed,,
,vermissen,miss,,
,"auslagern, unterteilen, abgeben","outsource, subdivide, hand over",,
,Maßnahmen einleiten/ implementieren,Initiate/implement measures,,
,diese Position wurde zurückgezogen,this position has been withdrawn,,
,eine Position ausschreiben,advertise a position,,
,während des ganzen Tages,throughout the day,,
,ich muss einen Schichtplan bis zum Ende des Monats erstellen,I have to create a shift plan by the end of the month,,
,man muss in der Lage sein ein Fehleranalyse zu machen,you must be able to do an error analysis,,
,laufbahn,career,,
,der Angestellte > Mitarbeiter >,the employee > employee >,,
,Tagesschicht/ Nachschicht arbeiten,Day shift/night shift work,,
,mit Menschen umgehen können,be able to deal with people,,
,Lernbereitschaft,Willingness to learn,,
,aplizieren,apply,,
,mischung,mixture,,
,komisch,funny,,
,müde,tired,,
,denken an,think about,,
,wonach suchst du,what are you searching for,,
,worum geht es,what is it about,,
,woran denkst du,what are you thinking,,
,wofür,for what,,
,wovon,About what,,
,womit,by which,,
,fürchten sich vor,are afraid of,,
,beschweren sich über,complain about,,
,bewerben sich um,apply for,,
,bestehen aus,consist of,,
,entschuldigen sich für,apologize for,,
,erinnern sich an,remember,,
,interessieren sich für,are interested in,,
,sprechen mit,speak with,,
,warten auf,waiting for,,
,lachen über,laugh about,,
,träume von mir,dream about me,,
,wem,whom,,
,wem gehört das,Who does that belong to?,,
,wer bist du,Who are you,,
,wessen auto ist das,whose car is that,,
,wie viel,how much,,
,wohin fährst du,where are you driving to,,
,woher kommst du,Where do you come from,,
,die Arzt: ich behandle und betreue die Patienten,the doctor: I treat and look after the patients,,
,die Autorin: ich schreibe die Romane,the author: I write the novels,,
,die Kellnerin: Ich bediene die Gäste und bringe das Essen.,the waitress: I serve the guests and bring the food.,,
,die Architekt plant und entwirft die Gebäude,the architect plans and designs the buildings,,
,der Taxifahrer fahrt mit dem Taxi.,the taxi driver drives the taxi.,,
,die Friseurin schneidet die Haare,the hairdresser cuts the hair,,
,die Apothekerin verkauft Medikamente.,the pharmacist sells medicines.,,
,der Maler,the painter,,
,der Journalist,the journalist,,
,die Tierärztin operiert und behandelt die Tiere,the veterinarian operates and treats the animals,,
,der Automechaniker,the car mechanic,,
,der Lehrer unterrichtet die Schüler,the teacher teaches the students,,
,der Einkäufer verhandelt die Preise und kauft die Ware ein.,the buyer negotiates the prices and purchases the goods.,,
,der Koch kocht und backt verschiedene Gerichte,the chef cooks and bakes various dishes,,
,die Apothekerin,the pharmacist,,
,"der Buchhalter arbeitet mit Finanzen: Lohn, Bonus, Prämie.","the accountant works with finances: wages, bonuses, bonuses.",,
,"der Gärtner pflanzt die Blumen, Pflanzen und Bäume","the gardener plants the flowers, plants and trees",,
,der Gärtner,the gardener,,
,so ... wie,as well as,,
,als anders,than different,,
,she works as a nurse,Sie arbeitet als Krankenschwester,,
,Včera bolo u nás najchladnejšie.,Gestern war es der kälteste in unserem Land.,,
,Produkty v tom regále sú najdrahšie.,Die Produkte in diesem Regal sind die teuersten.,,
,Ktorá cesta je najkratšia?,Welcher Weg ist der kürzeste?,,
,Najviac zarobíš tam.,Dort verdienst du am meisten.,,
,V tomto roku bol obrat najnižší.,In diesem Jahr war der Umsatz am niedrigsten.,,
,obrat,Umsatz,,
,najčastejšie,meistens,,
,hoch / höher / am höchsten,"high, higher, the highest",,
,viel / mehr / am meisten,much / more / most,,
,gut / besser / am besten,"good, better, the best",,
,schwierig zu erklären,difficult to explain,,
,schwierig <> einfach,difficult <> easy,,
,trocken <> nass / feucht,dry <> wet / damp,,
,billig / preiswert <> teuer,cheap / inexpensive <> expensive,,
,langweilig <> interessant,boring <> interesting,,
,süß > sauer > bitter > salzig,sweet > sour > bitter > salty,,
,preiswert <> teuer,inexpensive <> expensive,,
,adjective,Adjektiv,,
,regierungschef,head of government,,
,regierung,government,,
,Prüfungen,exams,,
,verdienen geld,to earn money,,
